indicator_code,indicator_name,year,value,unit,source_name,source_url,notes
IC.ELC.OUTG,Power outages in firms in a typical month,2006,1.7,outages_per_month,World Bank Enterprise Surveys via CEIC / Our World in Data,https://www.ceicdata.com/en/ethiopia/business-environment/et-power-outages-in-firms-in-a-typical-month,"Real Enterprise Survey indicator, Ethiopia."
IC.ELC.OUTG,Power outages in firms in a typical month,2011,5.6,outages_per_month,World Bank Enterprise Surveys via CEIC / Our World in Data,https://www.ceicdata.com/en/ethiopia/business-environment/et-power-outages-in-firms-in-a-typical-month,"Real Enterprise Survey indicator, Ethiopia."
IC.ELC.OUTG,Power outages in firms in a typical month,2015,8.2,outages_per_month,World Bank Enterprise Surveys via CEIC / Our World in Data,https://www.ceicdata.com/en/ethiopia/business-environment/et-power-outages-in-firms-in-a-typical-month,"Real Enterprise Survey indicator, Ethiopia."
IC.ELC.OUTG.ZS,Firms experiencing electrical outages,2011,89.0,percent_of_firms,World Bank Data / CEIC,https://www.ceicdata.com/en/ethiopia/business-environment/et-firms-experiencing-electrical-outages--of-firms,"Real Enterprise Survey indicator, Ethiopia."
IC.ELC.OUTG.ZS,Firms experiencing electrical outages,2015,80.0,percent_of_firms,World Bank Data / CEIC,https://www.ceicdata.com/en/ethiopia/business-environment/et-firms-experiencing-electrical-outages--of-firms,"Real Enterprise Survey indicator, Ethiopia."
IC.FRM.OUTG.ZS,Value lost due to electrical outages for affected firms,2011,4.3,percent_of_sales,World Bank Data / CEIC,https://www.ceicdata.com/en/ethiopia/company-statistics/et-value-lost-due-to-electrical-outages--of-sales-for-affected-firms,"Real Enterprise Survey indicator, Ethiopia."
IC.FRM.OUTG.ZS,Value lost due to electrical outages for affected firms,2015,6.9,percent_of_sales,World Bank Data / CEIC,https://www.ceicdata.com/en/ethiopia/company-statistics/et-value-lost-due-to-electrical-outages--of-sales-for-affected-firms,"Real Enterprise Survey indicator, Ethiopia."
